,CATIA,DS_FMU_Export_from_Simulink,Dymola,FMIToolbox_MATLAB,FMUSDK,JModelica.org,MWorks,MapleSim,OpenModelica,SimulationX,SystemModeler
AVL_CRUISE_M,8,2,5,5,1,0,6,6,1,3,0
AVL_Model.CONNECT,0,7,11,0,4,4,0,5,0,0,0
CATIA,14,22,21,5,8,3,0,3,0,3,0
DS_FMU_Import_into_Simulink,0,4,6,0,4,4,0,3,0,0,0
Dymola,5,52,57,3,24,9,0,25,0,4,0
FMPy,9,19,21,5,7,3,6,10,0,4,2
SIMPACK,5,15,25,5,0,4,0,12,0,4,0
Silver,5,4,24,4,12,4,0,12,0,0,0
