,CATIA,DS_FMU_Export_from_Simulink,Dymola,Easy5,FMIToolbox_MATLAB,FMUSDK,MWorks,MapleSim,OpenModelica,SimulationX,SystemModeler
ANSYS_Simplorer,11,0,15,0,0,4,0,0,0,4,0
AVL_CRUISE_M,8,2,5,0,5,1,7,6,1,3,0
AVL_Model.CONNECT,0,7,11,0,0,4,0,6,0,0,0
CATIA,14,15,17,0,5,8,0,3,0,3,0
Dymola,5,52,57,0,3,24,0,27,0,4,0
FMPy,9,19,21,1,5,7,6,10,0,4,2
SIMPACK,5,15,25,0,5,0,0,12,0,4,0
Silver,5,4,24,2,4,12,0,12,0,0,0
