,AMESim,ASim,AVL_Cruise,CATIA,ControlBuild,DSHplus,DS_FMU_Export_from_Simulink,Dymola,FMIToolbox_MATLAB,JModelica.org,MWorks,MapleSim,SIMPACK,Silver,SimulationX
AVL_CRUISE_M,0,3,4,12,1,2,4,8,5,0,7,6,0,3,5
AVL_Cruise,0,0,0,0,1,0,0,6,3,0,0,0,0,3,5
AVL_Model.CONNECT,6,0,0,6,7,3,7,27,8,4,0,6,0,6,9
CATIA,9,0,0,15,3,0,15,42,10,4,0,0,0,9,9
ControlBuild,0,3,0,5,6,0,4,7,0,0,0,1,0,0,1
DS_FMU_Import_into_Simulink,3,0,4,0,3,0,4,6,5,4,0,3,0,3,5
Dymola,21,0,4,6,13,3,52,124,18,15,0,13,0,18,7
FMPy,9,2,4,12,7,0,19,31,10,4,7,14,0,8,10
SIMPACK,22,0,10,27,27,0,30,104,26,8,0,24,9,11,20
Silver,9,0,0,8,5,0,4,48,13,11,0,12,6,12,5
dSPACE_VEOS,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3
