,CATIA,DS - FMU Export from Simulink,Dymola,FMI Toolbox for MATLAB/Simulink,FMUSDK,MapleSim,Altair Activate,Test-FMUs
Adams,5,1,6,4,0,0,0,0
ANSYS Simplorer,5,0,5,0,0,0,0,0
AVL CRUISE M,3,1,2,4,0,1,0,0
AVL Model.CONNECT,9,12,52,5,6,5,0,0
CATIA,4,7,6,2,0,0,0,0
Dymola,3,24,49,3,18,0,0,0
Easy5,0,0,0,4,0,1,0,0
FMI Toolbox for MATLAB/Simulink,0,0,4,0,3,0,0,0
FMPy,7,9,19,4,7,1,0,0
MapleSim,17,3,27,10,4,5,0,0
MATLAB® Simulink®,6,0,9,0,0,7,0,0
MoBA Lab,9,9,19,4,4,1,0,0
OMSimulator,3,4,7,1,0,0,1,6
PLECS,3,0,3,0,0,2,0,0
Silver,21,20,73,10,24,6,0,3
SIMULIA Simpack,3,0,21,4,0,0,0,0
SimulationX,1,2,8,3,0,2,0,0
Altair Activate,0,1,0,0,0,0,0,0
