,Simcenter Amesim,AUTOSAR Builder,CATIA,ControlBuild,DS - FMU Export from Simulink,Dymola,FMI Toolbox for MATLAB/Simulink,JModelica.org,MapleSim,MWorks,Silver,SimulationX
Simcenter Amesim,0,0,0,0,0,1,0,0,0,0,1,0
AVL CRUISE M,0,0,6,0,3,5,4,0,0,5,0,2
AVL Model.CONNECT,3,2,9,7,37,45,20,3,5,6,11,16
CATIA,0,0,3,3,7,5,4,0,0,0,0,1
ControlBuild,0,0,2,2,1,3,0,0,0,0,0,0
DS - FMU Import into Simulink,0,0,0,2,4,6,5,3,0,0,0,4
Dymola,2,0,4,7,52,61,14,12,0,0,4,9
FMI Toolbox for MATLAB/Simulink,0,0,0,0,0,8,10,7,0,0,0,8
FMPy,0,0,0,4,4,0,0,0,0,0,0,0
JModelica.org,0,0,0,0,0,3,0,4,0,0,0,0
MoBA Lab,3,1,10,3,19,24,9,4,0,5,3,4
MWorks,0,0,10,0,0,38,9,0,0,16,0,4
PyFMI,0,0,0,1,3,4,0,4,0,0,1,0
Silver,6,2,24,11,42,88,23,12,6,0,4,26
SIMULIA Simpack,2,0,8,10,25,58,16,8,0,0,0,15
SimulationX,0,0,2,0,0,3,3,0,0,0,0,5
