,Adams,Simcenter Amesim,ControlBuild,JModelica.org,Test-FMUs
Adams,3,0,1,0,0
AVL CRUISE M,0,0,2,0,0
FMPy,0,7,2,4,0
MasterSim,0,7,2,4,10
SIMULIA Simpack,0,16,6,8,0
Simulation Workbench (SimWB),3,0,0,0,0
