,Adams,Simcenter Amesim,AUTOSAR Builder,CATIA,ControlBuild,DS - FMU Export from Simulink,Dymola,Easy5,FMI Toolbox for MATLAB/Simulink,MapleSim,MWorks,Silver,SimulationX,Test-FMUs
Adams,3,0,0,4,2,3,6,3,4,0,0,2,5,0
Ansys Twin Builder,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AVL CRUISE M,0,0,0,10,1,4,8,0,4,2,5,2,5,0
AVL Model.CONNECT,0,10,2,20,12,41,76,3,23,6,7,7,11,6
CATIA,0,0,0,3,4,7,5,0,4,0,0,0,1,0
ControlBuild,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CosiMate,0,0,0,0,2,22,23,0,8,0,0,0,0,0
Dymola,0,8,2,4,8,10,61,0,18,0,0,2,2,0
Easy5,3,0,0,0,0,0,0,3,4,3,0,1,0,0
FMI Bench,0,3,0,10,6,13,25,3,9,3,3,2,7,0
FMI Toolbox for MATLAB/Simulink,0,0,0,0,0,0,0,0,10,0,0,0,0,0
FMPy,0,7,2,10,6,19,28,2,9,3,7,3,10,0
JavaFMI,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MasterSim,0,0,1,10,3,22,31,4,9,7,9,3,11,10
MATLAB® Simulink®,0,2,0,10,0,0,7,2,0,8,0,0,5,0
MoBA Lab,0,4,0,10,6,18,28,0,9,3,6,2,5,0
MWorks,0,0,0,10,0,0,37,0,9,0,15,0,10,0
RecurDyn,0,0,0,0,0,0,0,0,3,0,0,0,4,0
Silver,0,20,4,24,15,42,88,9,25,12,14,2,22,4
SIMULIA Simpack,0,16,0,8,15,30,59,0,16,0,0,2,11,0
SimulationX,0,3,0,1,0,4,13,0,0,3,0,3,4,0
Altair Activate,0,0,0,0,0,4,6,0,0,0,0,0,0,0
TLK FMI Suite,0,0,0,0,0,5,8,0,0,0,0,0,1,0
