,CATIA,Dymola,MapleSim
dSPACE MicroAutoBox III,0,3,4
dSPACE SCALEXIO,0,10,9
dSPACE SYNECT,0,0,1
dSPACE VEOS,0,21,20
Dymola,3,0,0
